,,length,width,area,"Measurements taken using a standardized grid, ImageJ, and hand tracing of seed edges, minimum of 50 seeds per crop",,,,
sorghum,max,4.95,N/A,18.033,,,,,
,min,3.061,N/A,7.919,,,,,
,avg,4.10525,N/A,13.28292,,,,,
canola,max,2.343,N/A,4.069,,,,,
,min,1.491,N/A,2.082,,,,,
,avg,1.95605,N/A,3.033533,,,,,
lima beans,max,17.9,15.2,176.341,,,,,
,min,11.78,9.2,80.346,,,,,
,avg,14.89312,11.7831,127.70542,,,,,
cotton,max,10,7.6,41.176,,,,,
,min,5.43,3.9,16.33,,,,,
,avg,7.77689,5.39232,27.60851,,,,,
,,,,,,,,,
Cotton Area,Cotton Width,Cotton Length,Lima Bean Area,Lima Bean Length,Lima Bean Width,Sorghum Area,Sorghum Diameter,Canola Area,Canola Diameter
16.333,4.917,6.826,80.346,12.081,9.282,7.919,4.092,3.565,1.491
17.103,4.624,5.945,90.466,12.744,10.313,9.635,4.12,2.909,1.562
18.094,4.991,5.431,91.991,13.038,9.208,9.793,4.149,2.955,1.562
18.821,3.963,7.119,93.749,11.933,11.418,10.13,4.149,3.081,1.633
19.538,4.55,6.826,94.156,12.965,10.534,10.606,4.177,3.791,1.633
19.608,4.11,6.972,94.579,11.786,10.46,10.94,4.177,3.333,1.633
19.683,5.505,6.239,95.154,12.081,10.828,11.019,4.206,3.106,1.704
20.427,4.037,7.927,101.714,12.965,11.197,11.119,4.206,4.069,1.704
20.696,5.578,5.798,105.502,14.143,10.165,11.284,4.206,3.585,1.704
20.992,4.844,6.165,108.66,14.438,10.018,11.473,4.206,2.118,1.704
21.073,5.211,6.092,109.669,12.596,12.523,11.532,4.235,2.985,1.775
21.165,5.138,6.239,109.93,13.112,11.786,11.586,4.235,2.591,1.775
21.628,5.431,5.945,112.404,13.996,10.976,11.72,4.263,2.082,1.775
21.73,4.183,7.413,114.417,14.659,10.46,11.887,4.263,3.086,1.775
22.414,4.624,7.486,116.018,13.038,12.375,11.986,4.263,2.274,1.775
22.808,5.725,6.165,116.229,13.849,11.786,12.159,4.292,4.069,1.775
23.244,4.257,7.486,117.163,13.112,12.228,12.159,4.292,3.67,1.775
23.729,4.257,7.78,117.233,13.849,11.565,12.258,4.32,2.581,1.775
23.836,4.33,7.853,118.986,15.248,10.018,12.421,4.349,2.259,1.846
24.122,5.651,7.486,120.245,14.88,11.123,12.607,4.349,3.428,1.846
24.488,5.725,6.826,122.41,14.585,11.049,12.635,4.378,2.697,1.846
24.531,4.697,7.193,125.02,15.543,11.491,12.774,4.406,3.353,1.846
24.585,5.138,7.266,125.335,13.628,13.186,12.784,4.406,2.198,1.917
24.693,4.624,7.413,125.904,14.291,12.302,12.859,4.435,2.813,1.917
24.704,3.89,8.734,126.36,15.469,10.607,12.997,4.435,3.081,1.917
24.817,6.239,6.752,127.543,14.806,12.302,13.223,4.463,3.186,1.917
24.865,6.385,7.193,127.684,15.101,11.565,13.445,4.463,3.565,1.917
24.908,4.844,8,128.124,15.617,10.902,13.717,4.463,3.479,1.917
25.431,5.211,7.706,129.567,15.027,11.197,13.72,4.521,2.909,1.917
25.598,4.697,7.78,133.154,13.849,13.701,13.783,4.521,2.188,1.917
25.603,5.578,6.899,133.447,15.764,10.681,13.898,4.521,,1.917
25.776,4.33,8.807,136.909,16.353,11.786,13.96,4.521,,1.917
25.808,5.358,7.486,137.81,15.248,12.596,14.147,4.549,,1.988
25.856,4.771,8,139.367,16.721,10.681,14.172,4.549,,1.988
25.862,6.459,6.679,140.306,16.5,11.86,14.267,4.549,,1.988
25.862,4.844,7.633,140.642,17.163,11.049,14.379,4.578,,1.988
26.045,4.844,8.294,144.847,15.101,13.333,14.605,4.578,,1.988
26.126,5.064,7.56,146.448,16.279,13.186,14.713,4.607,,2.059
26.201,5.138,7.193,146.931,17.9,10.46,14.734,4.635,,2.059
26.25,5.138,7.339,148.532,16.574,11.933,14.94,4.635,,2.059
26.26,5.872,7.413,149.492,15.985,13.259,15.089,4.635,,2.059
26.298,4.991,7.339,151.663,16.132,12.67,15.152,4.664,,2.059
26.379,4.624,8.734,152.78,17.016,12.302,15.319,4.692,,2.059
26.465,4.697,8.073,155.445,17.016,12.965,15.849,4.692,,2.059
26.589,5.945,6.679,157.675,17.237,13.922,16.259,4.692,,2.13
26.756,4.697,8.147,158.277,16.353,13.407,17.077,4.778,,2.13
26.799,5.798,7.633,160.947,15.911,15.175,17.093,4.807,,2.13
27.165,6.532,6.679,162.526,17.163,12.891,17.131,4.807,,2.201
27.295,4.697,8.147,165.174,16.206,14.291,17.159,4.893,,2.201
27.37,5.725,7.046,176.341,17.605,14.143,18.033,4.95,,2.201
27.435,6.459,7.78,,,,,3.061,,2.201
27.451,4.624,8.954,,,,,3.147,,2.201
27.499,6.165,7.046,,,,,3.176,,2.272
27.516,4.697,8.587,,,,,3.29,,2.272
27.973,5.064,8,,,,,3.462,,2.272
27.99,6.532,6.752,,,,,3.462,,2.343
28.022,4.477,8.587,,,,,3.491,,2.343
28.113,5.431,8.587,,,,,3.519,,2.343
28.119,4.991,8.294,,,,,3.519,,2.343
28.313,5.505,7.706,,,,,3.548,,2.343
28.324,4.991,8.514,,,,,3.577,,
28.453,6.018,6.972,,,,,3.605,,
28.749,4.624,9.028,,,,,3.662,,
29.018,5.138,8.147,,,,,3.662,,
29.212,5.284,8,,,,,3.691,,
29.81,4.917,9.174,,,,,3.691,,
30.026,4.477,9.394,,,,,3.691,,
30.063,5.798,7.56,,,,,3.72,,
30.155,4.917,8.44,,,,,3.748,,
30.322,5.358,8.881,,,,,3.748,,
30.43,5.578,8.587,,,,,3.777,,
30.564,6.385,7.853,,,,,3.777,,
30.71,5.945,8.367,,,,,3.777,,
30.796,5.138,8.734,,,,,3.805,,
30.925,5.431,8.294,,,,,3.834,,
31.055,6.092,7.78,,,,,3.834,,
31.195,5.872,7.339,,,,,3.834,,
31.286,7.046,7.56,,,,,3.834,,
31.286,4.771,9.835,,,,,3.863,,
31.609,6.606,7.706,,,,,3.863,,
31.69,5.284,8.954,,,,,3.891,,
31.733,5.358,8.734,,,,,3.891,,
32.067,6.606,7.56,,,,,3.891,,
32.369,5.505,8.661,,,,,3.891,,
32.504,5.064,9.468,,,,,3.891,,
32.541,5.431,9.174,,,,,3.891,,
32.628,6.165,7.853,,,,,3.92,,
32.671,4.991,9.028,,,,,3.92,,
32.8,5.211,8.587,,,,,3.948,,
33.064,6.532,7.413,,,,,3.977,,
33.371,6.165,7.486,,,,,3.977,,
34.125,5.358,9.908,,,,,4.006,,
34.324,7.119,7.413,,,,,4.006,,
34.373,7.486,7.633,,,,,4.006,,
34.637,6.459,9.174,,,,,4.006,,
36.027,6.459,8.661,,,,,4.063,,
37.072,7.266,6.899,,,,,4.063,,
37.33,7.56,8,,,,,4.063,,
39.501,6.826,8.807,,,,,4.092,,
41.176,5.578,9.982,,,,,4.092,,
